Prénom, Nom
Élodie,Charest
Bernard,Dubé
Marianne,Vachon-Paquette
Jean,Soucy-Bergeron
Alice-Christelle,Raymond
Lorraine-Pauline,Brassard
Guillaume,Laliberté
Vincent,Provencher
Béatrice,Mathieu
Thérèse,Brunet
Alexandre,Dion
Marcel,Jacques-Lussier
Aurélie,Roberge
Michelle,Ménard
Alain,Gélinas-Dupont
Louis,Jean
Geneviève,Beaudry
Nicole,Dupuis
Olivier-René,Lavoie
Nicolas,Bisson
Claudine,Daigle-Plourde
Roger,Provencher-Gendron
Simone,Mercier
Danielle,Tanguay-Tessier
Victor,Audet
Arthur,St-Onge
Thomas,Bernard
Alexis,Bédard
Grégoire,Lemay-Séguin
Olivier-Édouard,Boisvert
Jeanne-Maryse,Béland
Benjamin,Cormier
David,Beaudoin
Maude-Mélanie,Lamontagne
Emmanuel,Bertrand
Émile-Étienne,Dion
Grégoire,Archambault-Lapointe
Céline,Carrier
Lucas,Dumas
Lucas-Marc,Gravel
Marguerite-Béatrice,Marchand
Émile,Larivière
Manon,Lavallée
Kevin,Marchand
Nathan,Bertrand
Jérôme,Pilon
Louis,Drolet
Élodie-Christelle,Bélisle
Jules-Luc,Boucher
William,Labelle
Sarah,Cyr
Amélie,Chartrand-Allard
Bernard,Perreault
Bertrand,Pouliot
Virginie,Fortin
Constance,Tremblay
Étienne,Couture
Joséphine,Breton
Maude,Boisvert
Marguerite,Charest
Frédéric,Martin
Victor-Louis,Thibodeau
Louise,Lambert
Zoé-Claire,Duchesne
Audrey-Claude,Dufresne
René,Larivière
Mathieu,Pépin
Jules,Beaudoin
Océane,Perreault-Legault
Margaret,Béland
Sarah,Boisvert
Josette,Pilon
Diane,Veilleux
Benoît,Demers
Michel-François,Lapierre
Mathieu,Poirier
Françoise,Houle
Jérôme,Simard
Lucas-Julien,Durand
Clémence,Lalonde-Charron
Marcel-Zacharie,Gélinas
Valérie,Sirois
Anaïs,Marcotte-Trottier
Mathieu,Boudreau
Louise,Lussier
